Nome Reduzido;ISPB;CNPJ
CCLA VALE DO AÇO;19869338;19.869.338/0001-02
CCLA VALE DO ARAGUAIA;24830879;24.830.879/0001-67
CCLA VALE DO PARANAÍBA;24799033;24.799.033/0001-01
CCLA VALE DO PARANAPANEMA;01637949;01.637.949/0001-60
CCLA VALE DO RIO DO PEIXE;78865995;78.865.995/0001-40
CCLA VALE DO RIO GRANDE;25683475;25.683.475/0001-50
CCLA VALE DO VINHO;81016131;81.016.131/0001-69
CCLA VALE SÃO PATRICIO LTDA;00968602;00.968.602/0001-37
CCLA ZONA DA MATA LTDA;02335109;02.335.109/0001-05
CCLAA AURIVERDE-SICOOB CREDIAL;78858107;78.858.107/0001-62
CCLAA ITAIPU SICOOB CREDITAIPU;81014060;81.014.060/0001-65
CCLAA NOVA TRENTO;02641969;02.641.969/0001-77
CCLAA OESTE CATARINENSE;78825023;78.825.023/0001-22
CCLAA SAO MIGUEL DO OESTE;81607046;81.607.046/0001-75
CCLAA SICOOB MAXICRÉDITO;78825270;78.825.270/0001-29
CCM CORRET SEG EST SAO PAULO;08030602;08.030.602/0001-01
CCM DESP TRÂNS SC E RS;04715685;04.715.685/0001-03
CCM DO ABC - COOPER 7;04414354;04.414.354/0001-33
CCM DO CEARÁ - SICOOB CEARÁ;03620772;03.620.772/0001-14
CCM DOS ADVOGADOS DE SC;05861932;05.861.932/0001-42
CCM EMPR MAGAZINE LUIZA;02093154;02.093.154/0001-09
CCM MED EMP MT;36900256;36.900.256/0001-00
CCM PROF SAUDE E LIVRE ADMISSÃO TEOFILO OTONI LTDA;01709266;01.709.266/0001-70
CCM SERV FEDERAIS NA PARAÍBA - SICOOB COOPERCRET;02275781;02.275.781/0001-52
CCM SERV MIN EDUC SÃO PAULO;73092827;73.092.827/0001-46
CCM SERV MUN S JOAO BOA VISTA;74248949;74.248.949/0001-41
CCM SERV PUBLICOS - CREDI SP;03612679;03.612.679/0001-68
CCM SICOOB CREDIACISC;07669921;07.669.921/0001-90
CCMLA REGIãO ADMINISTRATIVA DE SOROCABA;10175348;10.175.348/0001-73
CCMS MUNICIPAIS DE BEBEDOURO;05969937;05.969.937/0001-93
CCPS E LA DO TRIANG MINEIRO E SUL DE MG LTDA;71432926;71.432.926/0001-02
CCR COOPAVEL;76461557;76.461.557/0001-91
CCR DE ABELARDO LUZ;01073966;01.073.966/0001-11
CCR DE GUACUI;32422628;32.422.628/0001-71
CCR DE IBIAM;08240446;08.240.446/0001-03
CCR DO AGRESTE ALAGOANO;08482873;08.482.873/0001-90
CCR FOR CANA CENTRO EST SP;53776852;53.776.852/0001-31
CCR IRAI - SICOOB CREDIMIL;71207740;71.207.740/0001-41
CCR SEARA;00204963;00.204.963/0001-07
CDC SCD S.A.;18394228;18.394.228/0001-79
CECM APOS PENS E IDOSOS - SICOOB COOPERNAPI;16564240;16.564.240/0001-59
CECM COL GRUPO EMPR A COSTA;20062766;20.062.766/0001-08
CECM COOPERSERV;05667301;05.667.301/0001-97
CECM DOS EMPR DAS EMP RANDON;89280960;89.280.960/0001-66
CECM DOS FUNCIONARIOS DA COMIGO;01062439;01.062.439/0001-01
CECM DOS MÉDICOS DOS V TAQUARI E RIO PARDO E REG PRO;01635462;01.635.462/0001-48
CECM DOS PROFISSIONAIS DA SAUDE DA REG ALTA MOGIANA;69346856;69.346.856/0001-10
CECM DOS TRAB.PORT. DA G.VITOR;03844699;03.844.699/0001-64
CECM EMP AMERICANA LIMEIRA E;09579249;09.579.249/0001-78
CECM EMP INST SF SÃO PAULO CAM;03674133;03.674.133/0001-31
CECM EMP USAGRO;68969625;68.969.625/0001-08
